289: 14.447478, 16.779388 avg, 0.000007 rate, 3.104666 seconds, 18496 images
290: 12.566586, 16.358109 avg, 0.000007 rate, 3.154923 seconds, 18560 images
291: 13.412529, 16.063551 avg, 0.000007 rate, 5.047852 seconds, 18624 images
292: 17.636177, 16.220814 avg, 0.000007 rate, 5.226796 seconds, 18688 images
293: 24.048782, 17.003611 avg, 0.000007 rate, 5.658330 seconds, 18752 images
294: 9.155931, 16.218843 avg, 0.000007 rate, 5.010759 seconds, 18816 images
295: 16.146427, 16.211601 avg, 0.000008 rate, 5.027543 seconds, 18880 images
296: 13.123381, 15.902780 avg, 0.000008 rate, 5.031565 seconds, 18944 images
297: 15.912408, 15.903743 avg, 0.000008 rate, 5.311817 seconds, 19008 images
298: 16.417524, 15.955121 avg, 0.000008 rate, 5.235423 seconds, 19072 images
299: 18.195715, 16.179180 avg, 0.000008 rate, 5.078184 seconds, 19136 images
300: 14.214299, 15.982692 avg, 0.000008 rate, 5.064234 seconds, 19200 images
301: 16.516447, 16.036068 avg, 0.000008 rate, 6.448139 seconds, 19264 images
302: 21.201061, 16.552567 avg, 0.000008 rate, 6.539328 seconds, 19328 images
303: 13.613657, 16.258675 avg, 0.000008 rate, 6.186935 seconds, 19392 images
304: 13.700632, 16.002871 avg, 0.000009 rate, 6.588150 seconds, 19456 images
305: 14.556880, 15.858272 avg, 0.000009 rate, 6.636806 seconds, 19520 images
306: 17.059828, 15.978427 avg, 0.000009 rate, 6.598330 seconds, 19584 images
307: 14.333206, 15.813905 avg, 0.000009 rate, 6.338772 seconds, 19648 images
308: 15.253527, 15.757867 avg, 0.000009 rate, 6.452541 seconds, 19712 images
309: 18.359491, 16.018030 avg, 0.000009 rate, 6.555803 seconds, 19776 images
310: 10.452859, 15.461514 avg, 0.000009 rate, 6.366333 seconds, 19840 images
311: 20.840990, 15.999461 avg, 0.000009 rate, 4.798589 seconds, 19904 images
312: 12.175032, 15.617018 avg, 0.000009 rate, 4.720862 seconds, 19968 images
313: 16.458048, 15.701120 avg, 0.000010 rate, 4.739826 seconds, 20032 images
314: 12.236544, 15.354663 avg, 0.000010 rate, 4.768367 seconds, 20096 images
315: 12.360006, 15.055197 avg, 0.000010 rate, 4.655265 seconds, 20160 images
316: 13.082938, 14.857971 avg, 0.000010 rate, 4.725633 seconds, 20224 images
317: 10.396509, 14.411825 avg, 0.000010 rate, 4.581591 seconds, 20288 images
318: 16.662415, 14.636884 avg, 0.000010 rate, 4.751068 seconds, 20352 images
319: 12.270232, 14.400219 avg, 0.000010 rate, 4.711080 seconds, 20416 images
320: 17.773684, 14.737565 avg, 0.000010 rate, 5.010016 seconds, 20480 images
321: 15.076729, 14.771482 avg, 0.000011 rate, 4.697249 seconds, 20544 images
322: 18.199938, 15.114327 avg, 0.000011 rate, 5.100122 seconds, 20608 images
323: 14.330955, 15.035990 avg, 0.000011 rate, 4.747002 seconds, 20672 images
324: 12.630360, 14.795426 avg, 0.000011 rate, 4.601943 seconds, 20736 images
325: 11.754880, 14.491372 avg, 0.000011 rate, 4.598256 seconds, 20800 images
326: 16.324371, 14.674672 avg, 0.000011 rate, 4.777904 seconds, 20864 images
327: 12.843129, 14.491518 avg, 0.000011 rate, 4.781680 seconds, 20928 images
328: 13.213160, 14.363682 avg, 0.000012 rate, 4.898584 seconds, 20992 images
329: 13.133287, 14.240643 avg, 0.000012 rate, 4.726700 seconds, 21056 images
330: 14.269894, 14.243567 avg, 0.000012 rate, 4.665157 seconds, 21120 images
331: 14.352899, 14.254500 avg, 0.000012 rate, 6.466627 seconds, 21184 images
